Label (Grouping),"Bronx borough, Bronx County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Estimate"
Total population,"1,365,725","2,466,782","1,583,345","2,199,169","463,450"
AGE,,,,,
Under 5 years,7.6%,7.1%,5.0%,6.0%,6.1%
5 to 9 years,7.3%,6.4%,3.9%,5.4%,6.4%
10 to 14 years,7.5%,6.4%,3.8%,5.7%,6.8%
15 to 19 years,8.4%,7.0%,5.0%,6.3%,7.1%
20 to 24 years,7.9%,7.7%,8.6%,7.1%,6.5%
25 to 29 years,7.7%,8.9%,11.6%,8.4%,6.5%
30 to 34 years,7.0%,7.8%,9.8%,7.8%,6.4%
35 to 39 years,6.7%,7.0%,8.1%,7.6%,7.0%
40 to 44 years,7.3%,6.9%,7.2%,7.5%,7.7%
45 to 49 years,7.0%,6.7%,6.6%,7.5%,7.9%
50 to 54 years,6.1%,6.4%,6.2%,7.0%,7.4%
55 to 59 years,5.1%,5.6%,5.9%,6.0%,6.6%
60 to 64 years,4.2%,4.6%,5.1%,5.0%,5.4%
65 to 69 years,3.1%,3.4%,4.0%,3.7%,3.7%
70 to 74 years,2.5%,2.7%,3.0%,3.0%,2.9%
75 to 79 years,1.8%,2.2%,2.4%,2.4%,2.4%
80 to 84 years,1.5%,1.7%,2.0%,2.0%,1.8%
85 years and over,1.4%,1.5%,1.8%,1.8%,1.5%
SELECTED AGE CATEGORIES,,,,,
5 to 14 years,14.7%,12.9%,7.7%,11.1%,13.2%
15 to 17 years,5.0%,4.2%,2.6%,3.8%,4.4%
18 to 24 years,11.2%,10.4%,11.0%,9.6%,9.2%
15 to 44 years,44.9%,45.2%,50.3%,44.6%,41.1%
16 years and over,76.1%,78.7%,86.5%,81.5%,79.4%
18 years and over,72.7%,75.8%,84.7%,79.0%,76.3%
60 years and over,14.6%,16.2%,18.2%,17.8%,17.8%
62 years and over,12.8%,14.0%,15.9%,15.6%,15.3%
65 years and over,10.4%,11.6%,13.1%,12.8%,12.3%
75 years and over,4.7%,5.5%,6.2%,6.2%,5.7%
SUMMARY INDICATORS,,,,,
    Median age (years),32.6,34.1,36.3,37.1,38.1
Sex ratio (males per 100 females),88.1,89.0,88.7,93.6,94.1
    Age dependency ratio,60.4,55.6,39.6,51.0,56.3
        Old-Age dependency ratio,16.6,18.0,18.3,19.4,19.3
        Child dependency ratio,43.7,37.6,21.3,31.7,37.0
PERCENT IMPUTED,,,,,
    Sex,0.2%,0.3%,0.2%,0.3%,0.2%
    Age,1.5%,2.1%,1.3%,2.3%,1.3%
