Label (Grouping),"Bronx borough, Bronx County, New York!!Total!!Estimate","Brooklyn borough, Kings County, New York!!Total!!Estimate","Manhattan borough, New York County, New York!!Total!!Estimate","Queens borough, Queens County, New York!!Total!!Estimate","Staten Island borough, Richmond County, New York!!Total!!Estimate"
Total population,"1,427,056","2,576,771","1,629,153","2,270,976","475,596"
    AGE,,,,,
Under 5 years,"102,679","187,501","77,025","140,401","27,153"
5 to 9 years,"95,779","158,523","61,508","118,310","28,070"
10 to 14 years,"98,933","155,166","61,066","127,078","30,213"
15 to 19 years,"95,177","136,508","68,059","114,596","29,219"
20 to 24 years,"104,304","158,549","111,192","130,325","28,792"
25 to 29 years,"120,781","241,249","188,117","184,816","33,266"
30 to 34 years,"106,551","231,644","174,318","180,644","31,074"
35 to 39 years,"94,054","190,873","128,334","163,571","28,559"
40 to 44 years,"86,366","167,687","105,219","147,442","30,764"
45 to 49 years,"87,182","153,514","101,138","151,417","31,934"
50 to 54 years,"91,147","148,268","98,105","154,741","33,693"
55 to 59 years,"86,106","148,547","95,799","157,592","33,014"
60 to 64 years,"73,840","137,983","88,523","140,509","32,532"
65 to 69 years,"58,573","116,939","81,433","114,931","26,157"
70 to 74 years,"44,298","87,954","65,783","87,396","19,335"
75 to 79 years,"33,559","63,250","47,413","61,713","13,297"
80 to 84 years,"22,928","43,714","34,311","45,130","9,001"
85 years and over,"24,799","48,902","41,810","50,364","9,523"
    SELECTED AGE CATEGORIES,,,,,
5 to 14 years,"194,712","313,689","122,574","245,388","58,283"
15 to 17 years,"57,290","87,091","33,640","71,498","18,545"
Under 18 years,"354,681","588,281","233,239","457,287","103,981"
18 to 24 years,"142,191","207,966","145,611","173,423","39,466"
15 to 44 years,"607,233","1,126,510","775,239","921,394","181,674"
16 years and over,"1,111,242","2,046,251","1,418,173","1,862,239","383,886"
18 years and over,"1,072,375","1,988,490","1,395,914","1,813,689","371,615"
21 years and over,"1,013,752","1,912,472","1,345,077","1,744,982","355,879"
60 years and over,"257,997","498,742","359,273","500,043","109,845"
62 years and over,"226,396","439,747","320,177","439,239","97,188"
65 years and over,"184,157","360,759","270,750","359,534","77,313"
75 years and over,"81,286","155,866","123,534","157,207","31,821"
    SUMMARY INDICATORS,,,,,
        Median age (years),34.5,35.4,37.7,39.3,40.2
Sex ratio (males per 100 females),89.1,90.1,90.0,94.3,94.2
        Age dependency ratio,60.7,58.3,44.8,56.2,61.6
        Old-age dependency ratio,20.7,22.2,24.1,24.7,26.3
        Child dependency ratio,39.9,36.1,20.7,31.4,35.3
    PERCENT ALLOCATED,,,,,
        Sex,(X),(X),(X),(X),(X)
        Age,(X),(X),(X),(X),(X)
