variables,BK72 Williamsburg,BK73 North Side-South Side,BK76 Greenpoint,BK90 East Williamsburg,BK09 Brooklyn Heights-Cobble Hill,BK38 DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK68 Fort Greene,BK69 Clinton Hill,BK35 Stuyvesant Heights,BK75 Bedford,BK77 Bushwick North,BK78 Bushwick South,BK99 park-cemetery-etc-Brooklyn,BK82 East New York,BK83 Cypress Hills-City Line,BK93 Starrett City,BK33 Carroll Gardens-Columbia Street-Red Hook,BK37 Park Slope-Gowanus,BK32 Sunset Park West,BK34 Sunset Park East,BK40 Windsor Terrace,BK61 Crown Heights North,BK64 Prospect Heights,BK60 Prospect Lefferts Gardens-Wingate,BK63 Crown Heights South,BK30 Dyker Heights,BK31 Bay Ridge,BK27 Bath Beach,BK28 Bensonhurst West,BK29 Bensonhurst East,BK41 Kensington-Ocean Parkway,BK46 Ocean Parkway South,BK88 Borough Park,BK19 Brighton Beach,BK21 Seagate-Coney Island,BK23 West Brighton,BK26 Gravesend,BK42 Flatbush,BK43 Midwood,BK17 Sheepshead Bay-Gerritsen Beach-Manhattan Bch,BK25 Homecrest,BK44 Madison,BK79 Ocean Hill,BK81 Brownsville,BK85 East New York (Pennsylvania Ave),BK91 East Flatbush-Farragut,BK95 Erasmus,BK96 Rugby-Remsen Village,BK45 Georgetown-Marine Park-Bergen Beach-Mill Basin,BK50 Canarsie,BK58 Flatlands,BX27 Hunts Point,BX33 Longwood,BX34 Melrose South-Mott Haven North,BX39 Mott Haven-Port Morris,BX98 Rikers Island1,BX01 Claremont-Bathgate,BX06 Belmont,BX17 East Tremont,BX35 Morrisania-Melrose,BX75 Crotona Park East,BX14 East Concourse-Concourse Village,BX26 Highbridge,BX63 West Concourse,BX36 University Heights-Morris Heights,BX40 Fordham South,BX41 Mount Hope,BX05 Bedford Park-Fordham North,BX30 Kingsbridge Heights,BX43 Norwood,BX22 North Riverdale-Fieldston-Riverdale,BX28 Van Cortlandt Village,BX29 Spuyten Duyvil-Kingsbridge,BX08 West Farms-Bronx River,BX09 Soundview-Castle Hill-Clason Point-Harding Park,BX46 Parkchester,BX55 Soundview-Bruckner,BX59 Westchester-Unionport,BX10 Pelham Bay-Country Club-City Island,BX13 Co-op City,BX52 Schuylerville-Throgs Neck-Edgewater Park,BX07 Bronxdale,BX31 Allerton-Pelham Gardens,BX37 Van Nest-Morris Park-Westchester Square,BX49 Pelham Parkway,BX03 Eastchester-Edenwald-Baychester,BX44 Williamsbridge-Olinville,BX62 Woodlawn-Wakefield,BX99 park-cemetery-etc-Bronx,MN23 West Village,MN24 SoHo-TriBeCa-Civic Center-Little Italy,MN25 Battery Park City-Lower Manhattan,MN22 East Village,MN27 Chinatown,MN28 Lower East Side,MN13 Hudson Yards-Chelsea-Flat Iron-Union Square,MN15 Clinton,MN17 Midtown-Midtown South,MN19 Turtle Bay-East Midtown,MN20 Murray Hill-Kips Bay,MN21 Gramercy,MN50 Stuyvesant Town-Cooper Village,MN12 Upper West Side,MN14 Lincoln Square,MN31 Lenox Hill-Roosevelt Island,MN32 Yorkville,MN40 Upper East Side-Carnegie Hill,MN04 Hamilton Heights,MN06 Manhattanville,MN09 Morningside Heights,MN03 Central Harlem North-Polo Grounds,MN11 Central Harlem South,MN33 East Harlem South,MN34 East Harlem North,MN01 Marble Hill2-Inwood,MN35 Washington Heights North,MN36 Washington Heights South,MN99 park-cemetery-etc-Manhattan,QN68 Queensbridge-Ravenswood-Long Island City,QN70 Astoria,QN71 Old Astoria,QN72 Steinway,QN99 park-cemetery-etc-Queens,QN31 Hunters Point-Sunnyside-West Maspeth,QN50 Elmhurst-Maspeth,QN63 Woodside,QN26 North Corona,QN27 East Elmhurst,QN28 Jackson Heights,QN98 Airport,QN25 Corona,QN29 Elmhurst,QN19 Glendale,QN20 Ridgewood,QN21 Middle Village,QN30 Maspeth,QN17 Forest Hills,QN18 Rego Park,QN22 Flushing,QN23 College Point,QN47 Ft. Totten-Bay Terrace-Clearview,QN49 Whitestone,QN51 Murray Hill,QN52 East Flushing,QN62 Queensboro Hill,QN06 Jamaica Estates-Holliswood,QN35 Briarwood-Jamaica Hills,QN37 Kew Gardens Hills,QN38 Pomonok-Flushing Heights-Hillcrest,QN41 Fresh Meadows-Utopia,QN53 Woodhaven,QN54 Richmond Hill,QN60 Kew Gardens,QN55 South Ozone Park,QN56 Ozone Park,QN57 Lindenwood-Howard Beach,QN42 Oakland Gardens,QN45 Douglas Manor-Douglaston-Little Neck,QN46 Bayside-Bayside Hills,QN48 Auburndale,QN01 South Jamaica,QN02 Springfield Gardens North,QN07 Hollis,QN08 St. Albans,QN61 Jamaica,QN76 Baisley Park,QN03 Springfield Gardens South-Brookville,QN05 Rosedale,QN33 Cambria Heights,QN34 Queens Village,QN43 Bellerose,QN44 Glen Oaks-Floral Park-New Hyde Park,QN66 Laurelton,QN10 Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN12 Hammels-Arverne-Edgemere,QN15 Far Rockaway-Bayswater,SI07 Westerleigh,SI08 Grymes Hill-Clifton-Fox Hills,SI12 Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI22 West New Brighton-New Brighton-St. George,SI28 Port Richmond,SI35 New Brighton-Silver Lake,SI37 Stapleton-Rosebank,SI05 New Springville-Bloomfield-Travis,SI14 Grasmere-Arrochar-Ft. Wadsworth,SI24 Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI36 Old Town-Dongan Hills-South Beach,SI45 New Dorp-Midland Beach,SI01 Annadale-Huguenot-Prince's Bay-Eltingville,SI11 Charleston-Richmond Valley-Tottenville,SI25 Oakwood-Oakwood Beach,SI32 Rossville-Woodrow,SI48 Arden Heights,SI54 Great Kills,SI99 park-cemetery-etc-Staten Island
Total population,32828,46070,31522,33155,23498,35373,26982,36413,64331,70095,61817,71247,416,91956,47526,12822,39422,72864,54932,71460,22571,100130,20449,69397,41243,45216,83821,29311,86592,61066,36199,19541,106203,31584,30018,15472,27759,105094,51514,61584,41899,40001,31831,55412,29854,52657,29933,56277,48351,86160,70872,27562,25542,39020,52132,9741,30715,25783,41871,37872,20352,63504,37065,39680,53944,26336,52237,52591,30599,41217,26839,49715,29848,35325,53800,30376,35886,27483,26139,44304,46104,33728,33404,30098,30191,36676,61503,45805,1377,67185,40059,37506,43755,46550,74243,69299,42931,28228,48393,49515,26075,21864,135718,60205,81378,77676,58834,51527,23845,54326,78193,46694,59794,60465,50358,71085,89551,1483,18539,75149,26470,49001,438,60575,25088,45259,50295,23070,105188,0,54091,84904,31750,70166,39062,27677,84694,27500,69382,24199,22943,32331,51509,27943,20989,25067,38449,36683,33532,18177,59550,65199,22878,80046,22136,28769,28097,25619,45522,20684,36864,26959,21520,51098,50922,34293,19901,28201,20212,57549,25964,22427,25141,29543,35500,50294,24202,23858,30473,31214,19240,18310,25635,39517,14775,31931,24999,21208,28727,24083,22038,19938,24799,43427,0
  Male,16820,22290,15499,15587,11805,17227,11367,17412,28872,33241,31752,33944,180,40807,22721,4442,18464,34912,29432,36563,10698,44442,9720,31645,19627,22395,39949,14421,41882,30046,17737,9573,54766,14495,13849,6552,12635,48046,25512,28670,20742,19269,14343,22458,13076,23220,13695,25251,23370,38598,32144,13202,11721,17157,25356,8821,13919,12173,18907,17261,9505,30751,17461,18695,25476,11876,25515,24990,13741,19023,12747,22577,14091,17175,23977,14394,17126,12736,12231,19239,22319,16080,16059,14583,14417,16439,27457,20888,643,31731,20130,18720,21488,23206,34965,34899,22368,14044,22234,22559,11367,9646,62611,28883,36340,33428,26419,24592,11266,23401,36230,21442,28418,27272,24812,33353,44204,1216,8552,37003,13485,24114,196,29889,12415,22708,28493,12001,53569,0,27524,43582,15226,34551,18654,13585,38378,13096,33208,12281,10668,15482,24824,13333,10284,11174,19158,17624,15867,8605,29264,32293,11240,38893,10746,13020,13683,12681,21714,10047,16880,11295,9675,23386,25103,16029,9221,12209,9274,27844,12986,10254,10978,14356,16469,23253,11971,10469,14153,15078,9374,9334,12697,18784,6848,15087,12235,10290,14589,12491,10428,9766,12124,21259,0
  Female,16008,23780,16023,17568,11693,18146,15615,19001,35459,36854,30065,37303,236,51149,24805,8380,20958,37952,25500,34897,11873,55688,10729,37752,21616,22821,43872,14890,44710,31020,18462,9968,51437,17089,16169,8920,15124,57048,26002,32914,21157,20732,17488,32954,16778,29437,16238,31026,24981,47562,38728,14360,13821,21863,26776,920,16796,13610,22964,20611,10847,32753,19604,20985,28468,14460,26722,27601,16858,22194,14092,27138,15757,18150,29823,15982,18760,14747,13908,25065,23785,17648,17345,15515,15774,20237,34046,24917,734,35454,19929,18786,22267,23344,39278,34400,20563,14184,26159,26956,14708,12218,73107,31322,45038,44248,32415,26935,12579,30925,41963,25252,31376,33193,25546,37732,45347,267,9987,38146,12985,24887,242,30686,12673,22551,21802,11069,51619,0,26567,41322,16524,35615,20408,14092,46316,14404,36174,11918,12275,16849,26685,14610,10705,13893,19291,19059,17665,9572,30286,32906,11638,41153,11390,15749,14414,12938,23808,10637,19984,15664,11845,27712,25819,18264,10680,15992,10938,29705,12978,12173,14163,15187,19031,27041,12231,13389,16320,16136,9866,8976,12938,20733,7927,16844,12764,10918,14138,11592,11610,10172,12675,22168,0
  Under 5 years,6163,3017,937,1341,1538,2145,1640,2191,4878,7277,4902,4585,28,7596,3983,626,2398,4946,4340,5474,1689,6469,1213,4835,2953,2707,5244,1807,5091,3327,2914,1663,13731,1566,1349,371,1436,7472,3812,3139,2598,2414,2660,4920,2686,3069,2105,3890,3612,5005,4304,2377,2321,3527,4645,0,2605,2145,3541,3045,2170,4862,2983,3568,4263,2852,4405,4280,1816,4087,1634,3331,2101,3281,3278,2274,3072,2016,1108,1769,2308,2123,1758,2359,2237,2295,4965,3130,136,2200,2096,2430,892,1618,3205,2758,1163,888,1935,1890,661,571,7515,4608,4997,3658,2771,2926,1320,1815,4467,3477,3432,4231,3203,3761,4794,0,1128,2968,1492,2244,24,3345,1267,2417,4500,1741,6142,0,4115,5046,1946,5407,1601,1733,4787,1687,3025,1499,1077,2088,2850,1336,1180,1212,2403,3095,1942,1216,4573,3708,1349,4516,1657,1377,1762,1262,2257,1445,2652,1465,1165,2914,3799,2093,1313,2087,896,2974,1606,1004,1124,1535,2756,4966,1450,1838,2230,2577,1774,1127,1379,2308,909,1482,1288,1509,1303,1494,1201,1019,1202,2181,0
  5 to 9 years,3773,2480,878,913,543,2038,1200,1762,4337,5714,4077,5066,25,7463,3421,878,2346,3355,3811,5107,989,5193,878,4474,3246,2463,4870,1686,4671,3453,2508,1582,11024,1534,1691,375,1259,6855,3521,2918,2791,2448,2347,4133,2553,3034,2090,3048,3844,5857,4380,2076,2298,4167,4210,0,2769,2206,3477,2940,1727,4631,3589,3083,3967,2409,3813,3995,2227,2774,1260,3232,1287,2360,3542,2045,2523,1915,1068,2185,2893,2090,1987,1966,1597,2650,4057,2530,123,1775,1332,1402,739,1933,2898,1903,708,344,888,1079,430,679,6065,1876,2723,2408,3028,2814,1336,1424,4553,2583,2704,3780,2730,3034,4400,0,1313,2710,959,1795,19,2385,1304,2307,3489,1442,5182,0,3906,4291,1647,4107,2230,1472,4193,1039,2908,1415,771,1774,2381,1479,1392,1098,1743,2387,1738,1071,4112,4361,878,4454,1210,1722,1609,1105,1993,741,2451,1684,988,3179,3278,2232,1394,2098,815,3078,1450,940,1519,1954,2650,3648,1201,1887,1919,2319,1431,1253,1696,2048,977,1513,1235,1299,1522,1965,1196,1612,1406,2769,0
  10 to 14 years,3620,2315,914,1342,547,1487,1285,1290,4312,5326,3684,5144,45,7391,3296,605,1936,2875,3016,4304,986,6597,545,3472,3317,2482,3981,1515,5017,2910,2704,1400,9717,1224,1666,355,1494,6727,3701,3236,3010,1977,2870,4816,2678,3207,1879,3435,2896,5678,4885,2863,2422,3425,3835,0,2396,1675,3500,3201,1850,4689,2917,3640,4233,2212,3756,4273,2038,3221,1178,3167,1534,2555,3752,1784,2916,2091,1208,2491,3059,1975,2534,2181,1571,2814,4894,2973,76,1267,1266,692,607,1884,3369,1140,590,335,622,848,332,479,4775,1461,1591,2308,3300,3069,1524,1476,4731,2597,3398,4588,3282,3793,3964,3,1464,2776,1075,1932,18,2112,1092,2238,2610,1320,5310,0,2996,4439,2071,4365,2146,1522,3335,1068,2877,1403,994,1917,1922,1206,1143,1334,1432,2312,2097,1224,3756,4697,930,5458,1568,1415,1560,1548,2844,1058,2943,2010,1228,3431,3167,2374,1548,2056,891,3458,1608,1108,1724,1867,2989,3789,1681,1533,2564,2063,1159,1289,1482,2848,887,2031,1350,1151,2146,1682,1330,1370,1647,2847,0
  15 to 19 years,3279,2361,879,1460,1109,1448,1521,1911,4478,5255,4930,5310,30,8228,4415,757,1595,2649,3040,4618,769,7507,660,4338,2827,2559,4670,1227,5283,3035,2543,1648,8580,1643,2707,342,1583,7755,3869,3127,2715,2544,2477,4976,2928,3525,2303,3757,3071,7308,5289,2222,2363,2800,4930,1475,3303,3139,4179,3738,2030,5319,3331,3082,4940,2604,5049,4087,2143,2725,2110,3754,1368,2551,4732,1569,2848,2862,1428,2729,3213,2466,2239,1996,1483,3788,4869,3207,101,3534,1227,1165,3751,2010,4325,1994,934,1326,539,1361,988,213,4084,1815,1518,1214,2136,3360,1717,6442,5742,2684,4465,4914,3036,4716,5546,8,1324,3052,1526,2004,28,2369,1263,2164,2824,1566,6407,0,3843,4720,1975,4653,1934,1398,3219,1036,3834,1482,1249,1793,2461,1244,1325,1343,2448,1888,3187,821,4575,5145,1155,5908,1369,1392,1255,1568,2603,1173,3211,1799,1675,3655,3155,3211,1175,2282,1599,4374,1819,974,1866,1651,3056,3573,1449,2453,2703,2581,1260,1279,1825,2433,711,2220,1469,1295,1898,1548,1241,1007,2034,2927,0
  20 to 24 years,3064,4123,2653,3038,1464,2276,2329,4569,5326,6497,6965,6751,37,7706,4627,1125,1883,4557,4887,6055,1811,7484,1174,5724,4298,3206,4917,1825,5894,3814,2562,1576,8122,1965,2150,611,1590,8663,4038,3625,2688,2532,2467,4442,2817,3728,2290,3987,2820,6933,5760,2505,1988,3754,4731,2051,3091,4027,3995,3243,1452,5274,2782,2901,5142,2230,4468,4111,2709,3578,2198,4447,1506,3031,4439,1749,3042,1811,1367,2751,3505,2354,2351,2258,1912,2816,4512,3599,54,4984,4130,3989,5723,4109,5506,5256,4172,2809,3815,6779,2682,3310,6682,2452,4786,4898,2144,4695,2526,8937,6873,3946,5410,5888,3934,7048,8742,49,1681,6372,2622,3733,26,4276,1467,3294,5171,1917,8405,0,4154,7048,2304,5819,2026,1729,3497,1398,4556,1591,1265,1646,3257,2055,1409,1640,2714,2895,2824,1288,4906,5325,1479,6953,1851,1392,1287,1184,2529,1268,2779,1665,2034,3749,3412,2686,1865,2123,1475,4665,1492,1025,1514,1212,2622,4108,1340,2498,2585,2103,1328,1232,2116,2061,941,2047,2052,1351,2142,1512,1084,1205,1377,2627,0
  25 to 34 years,3960,13445,10463,9522,5809,8988,6268,8290,10603,12341,13567,14537,120,12579,6811,1342,9184,19019,12509,13777,3841,18898,5861,11533,5829,6835,14136,4569,13943,9512,6184,2382,15161,4053,2947,1108,3580,16322,6627,7723,5729,4919,4525,8129,4050,8143,4677,7788,6093,11685,9372,4746,3964,6486,7543,2668,4214,3284,5572,5556,2828,9679,5724,6143,8102,3929,7709,8646,5129,7427,2814,7302,4163,6467,6928,4837,5345,4062,3701,4241,5895,5438,3804,4868,5119,4534,8393,6428,213,18428,10505,11947,12686,8947,12315,17835,12188,8006,12166,14739,8091,4700,25627,11904,21165,20268,6725,10552,4619,11797,13035,9300,11246,10306,8269,12389,17365,340,2897,19363,6588,12344,47,15344,4933,9394,11788,4243,17538,0,9410,16362,4801,12823,4620,4066,14268,5222,10275,3428,2311,3981,8194,4305,3203,2798,6944,5738,3677,2608,9283,9851,4674,11372,3143,3300,3697,2861,6258,2801,5205,3547,3033,6476,8064,4493,2960,3921,2122,7950,4047,3217,2891,2749,4337,7624,2472,3731,4475,4530,3137,2408,3998,4871,2157,3060,3543,2380,3095,2976,2593,2671,3187,4632,0
  35 to 44 years,2416,7162,4465,4605,4242,6349,4293,6195,9019,9768,9016,9218,20,12456,7035,1537,7377,13091,7813,10606,4085,13501,3966,9259,4935,6188,12637,4277,11443,8710,5135,1874,10136,3549,3103,1603,3272,15095,6337,8074,5286,4837,4479,6526,3918,6842,4142,7452,6382,11590,8553,3557,3082,4218,7224,1887,3842,3332,5275,5060,2459,8452,5096,6091,6858,3656,7378,7584,4491,6080,3283,6488,4433,4169,6845,5103,4288,4570,3580,5378,6263,4366,4475,3902,4427,4378,8742,6472,220,10167,6104,6710,6280,7403,9964,13579,7558,4441,6909,6709,4351,2469,20818,10631,13111,12783,7473,7629,3275,5301,11705,7284,7904,7582,7647,9041,12827,291,2777,11800,4242,7178,20,10886,4354,7566,9364,3774,16273,0,8296,13914,4365,10554,6096,4414,13198,3873,10769,3899,2763,4091,7528,4154,2818,3182,5433,4271,4363,2465,8900,9683,3044,11807,3214,3646,3928,3097,6025,2810,5215,3930,3046,6926,8291,5085,2622,3425,2664,8477,3310,2390,3220,3973,4415,5518,3876,2805,4378,4170,2577,2319,3429,5092,1809,4202,3160,3142,4019,4070,3232,2951,3888,6524,0
