Region Name,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,Median_Columns
"Autauga County, AL",53049.0,48863.0,51441.0,51868.0,54366.0,56580.0,54487.0,58343.0,59338.0,58233.0,67565.0,
"Baldwin County, AL",47618.0,50144.0,48867.0,47539.0,49626.0,52387.0,56460.0,56607.0,57588.0,59871.0,71135.0,
"Barbour County, AL",33074.0,30117.0,30287.0,30981.0,34971.0,31433.0,32884.0,32490.0,34382.0,35972.0,38866.0,
"Bibb County, AL",35472.0,37347.0,37392.0,39781.0,39546.0,40767.0,43079.0,45795.0,46064.0,47918.0,50907.0,
"Blount County, AL",42906.0,41940.0,44225.0,44392.0,45567.0,50487.0,47213.0,48253.0,50412.0,52902.0,55203.0,
"Bullock County, AL",25969.0,26038.0,25854.0,25937.0,26580.0,28251.0,34278.0,29113.0,29267.0,31906.0,33124.0,
"Butler County, AL",29500.0,30489.0,30605.0,31041.0,32512.0,33868.0,35409.0,36842.0,37365.0,39944.0,42268.0,
"Calhoun County, AL",37916.0,39060.0,39212.0,37898.0,41123.0,42091.0,41778.0,45937.0,45400.0,47747.0,50259.0,
"Chambers County, AL",30061.0,33500.0,32320.0,33883.0,34116.0,35560.0,39530.0,36883.0,39917.0,42015.0,39318.0,
"Cherokee County, AL",34410.0,34738.0,37868.0,37478.0,38013.0,39144.0,41456.0,44842.0,42132.0,45982.0,50388.0,
"Chilton County, AL",38553.0,38833.0,39621.0,41348.0,41450.0,42767.0,44188.0,46405.0,47547.0,49692.0,52693.0,
"Choctaw County, AL",32003.0,32940.0,33390.0,33581.0,35049.0,35089.0,32691.0,36711.0,39907.0,39808.0,41649.0,
"Clarke County, AL",33739.0,32642.0,34606.0,34593.0,36620.0,37317.0,34061.0,36719.0,40741.0,43822.0,44178.0,
"Clay County, AL",33035.0,32454.0,34579.0,33344.0,35940.0,38908.0,38512.0,39642.0,39201.0,40562.0,44763.0,
"Cleburne County, AL",37566.0,39153.0,38235.0,40407.0,40418.0,42136.0,43483.0,45480.0,46495.0,51276.0,50134.0,
"Coffee County, AL",40779.0,42173.0,45631.0,44666.0,46931.0,46858.0,48632.0,51998.0,55122.0,57299.0,54203.0,
"Colbert County, AL",37455.0,37269.0,39771.0,40032.0,43057.0,41171.0,46572.0,46100.0,49055.0,46683.0,54185.0,
"Conecuh County, AL",27855.0,26914.0,27110.0,27196.0,29101.0,29981.0,29758.0,30796.0,32613.0,41539.0,34664.0,
"Coosa County, AL",33721.0,34391.0,32960.0,35175.0,34679.0,36078.0,36441.0,42442.0,42423.0,42024.0,46509.0,
"Covington County, AL",33484.0,32138.0,34017.0,35187.0,36149.0,36355.0,35010.0,39093.0,40203.0,44836.0,43544.0,
"Crenshaw County, AL",35577.0,34534.0,33648.0,34105.0,34445.0,36759.0,37374.0,38419.0,39057.0,43309.0,45927.0,
"Cullman County, AL",37948.0,39395.0,37938.0,40142.0,39922.0,39290.0,41543.0,45925.0,45796.0,50897.0,51844.0,
"Dale County, AL",41287.0,41568.0,40125.0,41805.0,41940.0,45294.0,40523.0,42572.0,45309.0,45120.0,48493.0,
"Dallas County, AL",26195.0,25859.0,27400.0,27524.0,26602.0,29682.0,30488.0,31329.0,34035.0,34034.0,37679.0,
"De Kalb County, AL",34822.0,35487.0,37644.0,36713.0,36241.0,37305.0,37128.0,39906.0,39491.0,44277.0,47156.0,
"Elmore County, AL",51013.0,54866.0,52324.0,51650.0,54298.0,53548.0,54553.0,59652.0,60367.0,62310.0,62524.0,
"Escambia County, AL",31365.0,32838.0,33588.0,33455.0,37077.0,36840.0,35096.0,37870.0,38418.0,42712.0,41212.0,
"Etowah County, AL",36088.0,34927.0,35737.0,38587.0,39904.0,42145.0,40972.0,41791.0,44903.0,43047.0,47872.0,
"Fayette County, AL",32643.0,32648.0,35720.0,35661.0,35664.0,37085.0,38403.0,39394.0,39254.0,44212.0,45937.0,
"Franklin County, AL",33649.0,33705.0,33173.0,33332.0,33881.0,38535.0,37049.0,41025.0,39388.0,44874.0,40448.0,
"Geneva County, AL",34418.0,33835.0,33347.0,35378.0,34425.0,36289.0,36976.0,38561.0,37823.0,43089.0,39882.0,
"Greene County, AL",27117.0,24738.0,24592.0,25864.0,26504.0,25398.0,26559.0,28108.0,28524.0,28699.0,33609.0,
"Hale County, AL",31790.0,31044.0,31025.0,33597.0,33315.0,35470.0,35381.0,34905.0,34724.0,40745.0,41836.0,
"Henry County, AL",37851.0,39788.0,37108.0,41590.0,39930.0,42501.0,41426.0,48094.0,46027.0,48597.0,51126.0,
"Houston County, AL",39290.0,40428.0,40609.0,39636.0,40124.0,43568.0,42910.0,44753.0,47993.0,50138.0,54391.0,
"Jackson County, AL",36158.0,36746.0,39618.0,37204.0,36923.0,40201.0,41407.0,42658.0,41929.0,44322.0,46606.0,
"Jefferson County, AL",41740.0,42053.0,43967.0,45024.0,44852.0,48415.0,50109.0,50731.0,55013.0,54127.0,57802.0,
"Lamar County, AL",32993.0,34731.0,33940.0,36475.0,34553.0,36520.0,38358.0,39796.0,40936.0,42686.0,40204.0,
"Lauderdale County, AL",39213.0,40195.0,41536.0,43586.0,41324.0,43008.0,44124.0,46646.0,48707.0,48188.0,52293.0,
"Lawrence County, AL",37365.0,38132.0,38524.0,40713.0,41574.0,41771.0,43107.0,42912.0,43909.0,47797.0,48924.0,
"Lee County, AL",40102.0,42539.0,43182.0,44647.0,41256.0,46442.0,47749.0,51372.0,48937.0,54160.0,58963.0,
"Limestone County, AL",49667.0,46760.0,49616.0,50148.0,51175.0,55060.0,52181.0,57342.0,64863.0,64729.0,70850.0,
"Lowndes County, AL",28754.0,28043.0,28544.0,29734.0,30675.0,31117.0,32011.0,33130.0,33973.0,33930.0,37499.0,
"Macon County, AL",27041.0,27591.0,27709.0,29228.0,28518.0,29522.0,30681.0,30849.0,32495.0,34281.0,37736.0,
"Madison County, AL",54633.0,55298.0,57072.0,58258.0,58833.0,59117.0,61193.0,62750.0,63755.0,68609.0,67810.0,
"Marengo County, AL",33085.0,31995.0,31888.0,33749.0,32977.0,35389.0,34794.0,37469.0,37733.0,38838.0,43198.0,
"Marion County, AL",32080.0,30926.0,32237.0,34162.0,37707.0,34977.0,36386.0,38049.0,37887.0,44675.0,44333.0,
"Marshall County, AL",38859.0,38876.0,36960.0,38399.0,36536.0,40599.0,42117.0,42751.0,46233.0,48913.0,51417.0,
"Mobile County, AL",39753.0,41867.0,39546.0,42278.0,42943.0,42530.0,45233.0,45615.0,43598.0,49492.0,50871.0,
"Monroe County, AL",31744.0,31072.0,36221.0,32696.0,34733.0,35163.0,36639.0,36432.0,39556.0,40005.0,38812.0,
"Montgomery County, AL",41556.0,42962.0,41430.0,44013.0,43054.0,42666.0,45111.0,45833.0,49640.0,52711.0,49607.0,
"Morgan County, AL",44859.0,43615.0,44766.0,44079.0,45082.0,47234.0,46843.0,49274.0,52797.0,54355.0,55688.0,
"Perry County, AL",24742.0,22175.0,25215.0,25461.0,27403.0,26218.0,25221.0,26703.0,26814.0,29572.0,33712.0,
